,지역,장애노인_1인가구_추정수,장애아동_인구수,장애인취업자,미수급자
284,송파구_가락본동,126,28,35.0,65.0
285,송파구_거여1동,104,13,29.0,53.0
286,송파구_거여2동,167,30,46.0,85.0
287,송파구_마천1동,206,44,57.0,106.0
288,송파구_마천2동,205,30,56.0,105.0
289,송파구_문정1동,93,20,25.0,48.0
290,송파구_문정2동,89,22,24.0,46.0
291,송파구_방이1동,70,22,19.0,36.0
292,송파구_방이2동,130,22,36.0,67.0
293,송파구_삼전동,153,37,42.0,79.0
294,송파구_석촌동,169,29,46.0,86.0
295,송파구_송파1동,119,16,33.0,61.0
296,송파구_송파2동,85,22,23.0,43.0
297,송파구_오금동,241,65,66.0,123.0
298,송파구_오륜동,51,18,14.0,26.0
299,송파구_위례동,189,106,52.0,97.0
300,송파구_잠실2동,98,51,27.0,50.0
301,송파구_잠실3동,116,39,32.0,60.0
302,송파구_잠실4동,74,33,20.0,37.0
303,송파구_잠실6동,63,22,17.0,33.0
304,송파구_잠실7동,37,7,10.0,19.0
305,송파구_잠실본동,129,26,35.0,66.0
306,송파구_장지동,223,88,61.0,114.0
307,송파구_풍납1동,105,26,29.0,54.0
308,송파구_풍납2동,137,42,38.0,70.0
309,양천구_목1동,116,45,5.0,44.0
310,양천구_목2동,178,37,8.0,69.0
311,양천구_목3동,153,21,7.0,58.0
312,양천구_목4동,147,42,6.0,56.0
313,양천구_목5동,120,40,5.0,46.0
314,양천구_신월1동,212,33,9.0,81.0
315,양천구_신월2동,162,37,7.0,62.0
316,양천구_신월3동,156,32,7.0,60.0
317,양천구_신월4동,152,31,7.0,59.0
318,양천구_신월5동,122,16,5.0,47.0
319,양천구_신월6동,76,31,3.0,29.0
320,양천구_신월7동,195,21,8.0,75.0
321,양천구_신정1동,93,24,4.0,36.0
322,양천구_신정2동,124,33,5.0,48.0
323,양천구_신정3동,369,103,16.0,141.0
324,양천구_신정4동,270,41,12.0,103.0
325,양천구_신정6동,78,25,3.0,30.0
326,양천구_신정7동,230,42,10.0,88.0
327,영등포구_당산1동,129,20,35.0,58.0
328,영등포구_당산2동,160,33,44.0,72.0
329,영등포구_대림1동,141,20,39.0,64.0
330,영등포구_대림2동,121,20,33.0,54.0
331,영등포구_대림3동,191,24,52.0,87.0
332,영등포구_도림동,150,19,41.0,68.0
333,영등포구_문래동,150,39,41.0,68.0
334,영등포구_신길1동,141,17,39.0,63.0
335,영등포구_신길3동,141,25,39.0,64.0
336,영등포구_신길4동,104,11,28.0,47.0
337,영등포구_신길5동,92,22,25.0,41.0
338,영등포구_신길6동,133,42,37.0,60.0
339,영등포구_신길7동,95,30,26.0,43.0
340,영등포구_양평1동,112,21,31.0,50.0
341,영등포구_양평2동,103,25,28.0,46.0
342,영등포구_여의동,128,44,35.0,57.0
343,영등포구_영등포동,172,20,47.0,78.0
344,영등포구_영등포본동,177,28,49.0,80.0
345,용산구_남영동,87,4,12.0,41.0
346,용산구_보광동,100,11,13.0,46.0
347,용산구_서빙고동,62,24,8.0,29.0
348,용산구_용문동,80,19,11.0,37.0
349,용산구_용산2가동,77,7,10.0,35.0
350,용산구_원효로1동,76,22,10.0,35.0
351,용산구_원효로2동,77,20,10.0,36.0
352,용산구_이촌1동,84,31,11.0,39.0
353,용산구_이촌2동,60,13,8.0,27.0
354,용산구_이태원1동,39,12,5.0,18.0
355,용산구_이태원2동,53,9,7.0,24.0
356,용산구_청파동,138,23,18.0,64.0
357,용산구_한강로동,84,20,11.0,38.0
358,용산구_한남동,100,10,13.0,46.0
359,용산구_효창동,53,10,7.0,25.0
360,용산구_후암동,126,42,17.0,58.0
361,은평구_갈현1동,177,35,5.0,58.0
362,은평구_갈현2동,203,32,5.0,67.0
363,은평구_구산동,378,115,10.0,123.0
364,은평구_녹번동,276,45,7.0,90.0
365,은평구_대조동,207,25,5.0,68.0
366,은평구_불광1동,290,59,7.0,95.0
367,은평구_불광2동,243,38,6.0,79.0
368,은평구_수색동,103,24,3.0,34.0
369,은평구_신사1동,206,37,5.0,68.0
370,은평구_신사2동,157,35,4.0,51.0
371,은평구_역촌동,362,82,9.0,119.0
372,은평구_응암1동,223,65,6.0,73.0
373,은평구_응암2동,166,71,4.0,54.0
374,은평구_응암3동,223,32,6.0,73.0
375,은평구_증산동,119,22,3.0,39.0
376,은평구_진관동,332,114,9.0,109.0
377,종로구_가회동,30,6,15.0,6.0
378,종로구_교남동,60,21,31.0,11.0
379,종로구_무악동,54,20,28.0,11.0
380,종로구_부암동,54,11,28.0,10.0
381,종로구_사직동,47,18,24.0,9.0
382,종로구_삼청동,18,3,9.0,4.0
383,종로구_숭인1동,49,9,25.0,9.0
384,종로구_숭인2동,71,7,37.0,14.0
385,종로구_이화동,54,6,28.0,11.0
386,종로구_종로1.2.3.4가동,64,2,33.0,13.0
387,종로구_종로5.6가동,44,5,23.0,8.0
388,종로구_창신1동,48,6,25.0,10.0
389,종로구_창신2동,84,8,43.0,16.0
390,종로구_창신3동,57,14,29.0,11.0
391,종로구_청운효자동,75,36,39.0,15.0
392,종로구_평창동,86,11,44.0,16.0
393,종로구_혜화동,103,26,53.0,20.0
394,중구_광희동,41,2,28.0,17.0
395,중구_다산동,111,9,74.0,46.0
