,구,동,계,비율,장애인취업자,대상자_수,수급자_수
182,동대문구,답십리1동,1095.0,0.07056321691,6.0,191.0,123.0
183,동작구,사당4동,581.0,0.04029964625,6.0,113.0,67.0
184,동작구,상도2동,914.0,0.0633973781,10.0,177.0,106.0
185,동작구,상도3동,1151.0,0.07983630436,13.0,223.0,134.0
186,동작구,상도4동,1290.0,0.08947769994,14.0,250.0,150.0
187,동작구,사당1동,783.0,0.05431088299,9.0,152.0,91.0
188,동작구,사당3동,759.0,0.05264618159,8.0,147.0,88.0
189,동작구,노량진1동,1246.0,0.08642574738,14.0,241.0,145.0
190,동작구,사당5동,518.0,0.03592980509,6.0,100.0,60.0
191,동작구,신대방1동,819.0,0.05680793508,9.0,159.0,95.0
192,동작구,신대방2동,746.0,0.05174446834,8.0,144.0,87.0
193,동작구,흑석동,1100.0,0.0762988139,12.0,213.0,128.0
194,동작구,사당2동,919.0,0.06374419089,10.0,178.0,107.0
195,동작구,상도1동,1482.0,0.1027953111,16.0,287.0,172.0
196,동작구,노량진2동,556.0,0.0385655823,6.0,108.0,65.0
197,동작구,대방동,1553.0,0.1077200527,17.0,301.0,180.0
198,마포구,상암동,1170.0,0.09038238702,43.0,244.0,150.0
199,마포구,신수동,689.0,0.05322518347,25.0,144.0,88.0
200,마포구,대흥동,477.0,0.03684820394,18.0,99.0,61.0
201,마포구,염리동,516.0,0.03986095017,19.0,108.0,66.0
202,마포구,망원1동,805.0,0.06218617227,30.0,168.0,103.0
203,마포구,서교동,684.0,0.05283893395,25.0,143.0,88.0
204,마포구,합정동,554.0,0.0427964465,20.0,115.0,71.0
205,마포구,용강동,599.0,0.04627269216,22.0,125.0,77.0
206,마포구,공덕동,1476.0,0.1140208575,54.0,308.0,190.0
207,마포구,서강동,672.0,0.05191193511,25.0,140.0,86.0
208,마포구,도화동,735.0,0.05677867903,27.0,153.0,94.0
209,마포구,성산2동,1989.0,0.1536500579,73.0,415.0,255.0
210,마포구,성산1동,670.0,0.0517574353,25.0,140.0,86.0
211,마포구,연남동,496.0,0.03831595211,18.0,103.0,64.0
212,마포구,아현동,679.0,0.05245268443,25.0,142.0,87.0
213,마포구,망원2동,734.0,0.05670142912,27.0,153.0,94.0
214,서대문구,남가좌2동,1163.0,0.09446836163,6.0,216.0,135.0
215,서대문구,연희동,1255.0,0.1019413533,7.0,233.0,146.0
216,서대문구,신촌동,466.0,0.03785232719,3.0,86.0,54.0
217,서대문구,북아현동,554.0,0.04500040614,3.0,103.0,64.0
218,서대문구,충현동,745.0,0.0605149866,4.0,138.0,86.0
219,서대문구,북가좌2동,1588.0,0.1289903338,9.0,295.0,184.0
220,서대문구,북가좌1동,688.0,0.05588498091,4.0,128.0,80.0
221,서대문구,남가좌1동,519.0,0.04215742019,3.0,96.0,60.0
222,서대문구,천연동,708.0,0.05750954431,4.0,131.0,82.0
223,서대문구,홍제1동,922.0,0.07489237267,5.0,171.0,107.0
224,서대문구,홍제3동,812.0,0.06595727398,4.0,151.0,94.0
225,서대문구,홍제2동,629.0,0.05109251889,3.0,117.0,73.0
226,서대문구,홍은1동,1039.0,0.08439606856,6.0,193.0,121.0
227,서대문구,홍은2동,1223.0,0.09934205182,7.0,227.0,142.0
228,서초구,방배3동,415.0,0.04032649888,13.0,86.0,45.0
229,서초구,방배1동,476.0,0.04625400836,15.0,98.0,51.0
230,서초구,내곡동,835.0,0.0811388592,26.0,172.0,90.0
231,서초구,반포3동,367.0,0.03566222913,12.0,76.0,40.0
232,서초구,반포4동,357.0,0.03469050627,11.0,74.0,39.0
233,서초구,방배본동,473.0,0.0459624915,15.0,98.0,51.0
234,서초구,방배4동,596.0,0.05791468273,19.0,123.0,64.0
235,서초구,방배2동,676.0,0.06568846565,21.0,139.0,73.0
236,서초구,양재1동,1896.0,0.1842386551,60.0,391.0,205.0
237,서초구,서초1동,476.0,0.04625400836,15.0,98.0,51.0
238,서초구,반포1동,612.0,0.05946943932,19.0,126.0,66.0
239,서초구,반포2동,234.0,0.02273831503,7.0,48.0,25.0
240,서초구,잠원동,507.0,0.04926634924,16.0,105.0,55.0
241,서초구,반포본동,30.0,0.002915168594,1.0,6.0,3.0
242,서초구,서초3동,735.0,0.07142163055,23.0,152.0,79.0
243,서초구,서초2동,453.0,0.04401904577,14.0,93.0,49.0
244,서초구,서초4동,472.0,0.04586531921,15.0,97.0,51.0
245,서초구,양재2동,681.0,0.06617432708,21.0,140.0,74.0
246,성동구,행당2동,894.0,0.07922722439,16.0,155.0,94.0
247,성동구,옥수동,717.0,0.06354129741,13.0,124.0,75.0
248,성동구,금호4가동,546.0,0.04838709677,10.0,95.0,57.0
249,성동구,금호2.3가동,930.0,0.08241758242,16.0,161.0,98.0
250,성동구,왕십리2동,645.0,0.05716058135,11.0,112.0,68.0
251,성동구,마장동,1061.0,0.0940269408,19.0,184.0,111.0
252,성동구,행당1동,501.0,0.04439914924,9.0,87.0,53.0
253,성동구,응봉동,549.0,0.04865295994,10.0,95.0,58.0
254,성동구,왕십리도선동,1019.0,0.09030485643,18.0,177.0,107.0
255,성동구,사근동,363.0,0.03216944346,6.0,63.0,38.0
256,성동구,성수1가1동,585.0,0.05184331797,10.0,101.0,61.0
257,성동구,성수2가1동,780.0,0.06912442396,14.0,135.0,82.0
