,구,동,계,비율
275,강서구,화곡1동,2070.0,0.07251453794
276,강서구,우장산동,1248.0,0.04371890983
278,구로구,신도림동,947.0,0.05154021988
279,구로구,구로1동,530.0,0.02884510722
280,구로구,구로3동,925.0,0.0503428758
281,구로구,구로4동,1247.0,0.06786763906
282,구로구,구로5동,1134.0,0.0617176445
283,구로구,고척1동,1105.0,0.06013932731
284,구로구,고척2동,1320.0,0.07184064439
285,구로구,개봉2동,1453.0,0.07907913356
286,구로구,개봉3동,1053.0,0.05730924132
287,구로구,오류1동,1112.0,0.06052030042
288,구로구,수궁동,1273.0,0.06928268205
289,구로구,가리봉동,538.0,0.02928050506
290,구로구,구로2동,1424.0,0.07750081637
291,구로구,개봉1동,1674.0,0.09110699902
292,구로구,오류2동,2075.0,0.112931316
293,구로구,항동,564.0,0.03069554806
295,금천구,가산동,739.0,0.06449642171
296,금천구,독산1동,1989.0,0.1735905045
297,금천구,독산2동,966.0,0.08430790714
298,금천구,독산3동,1216.0,0.1061267237
299,금천구,독산4동,797.0,0.06955838715
300,금천구,시흥1동,1675.0,0.1461860709
301,금천구,시흥2동,1124.0,0.0980973992
302,금천구,시흥3동,553.0,0.0482632222
303,금천구,시흥4동,1143.0,0.09975562925
304,금천구,시흥5동,1256.0,0.1096177343
306,영등포구,여의동,758.0,0.05229389445
307,영등포구,당산1동,767.0,0.05291479821
308,영등포구,당산2동,950.0,0.06553984132
309,영등포구,양평1동,668.0,0.04608485685
310,영등포구,양평2동,612.0,0.04222145567
311,영등포구,신길1동,835.0,0.05760607106
312,영등포구,신길3동,840.0,0.05795101759
313,영등포구,신길4동,615.0,0.04242842359
314,영등포구,신길5동,544.0,0.03753018282
315,영등포구,신길6동,791.0,0.05457054157
316,영등포구,신길7동,567.0,0.03911693687
317,영등포구,대림1동,838.0,0.05781303898
318,영등포구,대림2동,718.0,0.04953432218
319,영등포구,대림3동,1137.0,0.07844084167
320,영등포구,영등포본동,1054.0,0.07271472922
321,영등포구,영등포동,1020.0,0.07036909279
322,영등포구,도림동,892.0,0.06153846154
323,영등포구,문래동,889.0,0.06133149362
325,동작구,노량진2동,556.0,0.0385655823
326,동작구,상도1동,1482.0,0.1027953111
327,동작구,상도2동,914.0,0.0633973781
328,동작구,상도3동,1151.0,0.07983630436
329,동작구,상도4동,1290.0,0.08947769994
