,title,url
110,국정원 홈페이지에 尹 대통령·국회의장 살해 협박글... 용의자는 10대 남성,https://hankookilbo.com/News/Read/A2022072616350003340?did=NA
111,'제주 중학생 살해' 백광석·김시남 '중형' 확정,http://www.jemin.com/news/articleView.html?idxno=741124
112,"""잔혹 평가는 어려워""…'마포 데이트폭력' 살해 30대 징역7년 확정",http://news.mt.co.kr/mtview.php?no=2022072609292492240
113,"아버지 시신 냉장고에 방치한 20대, 존속살해죄로 구속 기소",https://www.ytn.co.kr/_ln/0115_202207261502394557
114,이혼 요구하는 아내 살해한 50대 남성 체포,http://www.yonhapnewstv.co.kr/MYH20220728006500038/?input=1825m
115,[포항]'고양이 연쇄 살해' 남성 기소… 학대 유튜브도 운영,https://dgmbc.com/article/QEmVkDCK46txvkmdHPRQ
116,공주교도소서 동료 재소자 살해한 20대 ‘무기징역’ 선고,http://www.segye.com/content/html/2022/07/27/20220727511829.html?OutUrl=naver
117,"""전 연인과 왜 비교해?"" 여자친구 흉기로 살해한 20대 男",https://www.pressian.com/pages/articles/2022072809181466805?utm_source=naver&utm_medium=search
118,동료 수용자 살해한 무기수 두번째 무기징역,http://www.joongdo.co.kr/web/view.php?key=20220727010007938
119,‘왜 전 남친과 비교해’…애인 살해한 20대 남성 검거,https://www.seoul.co.kr/news/newsView.php?id=20220727500180&wlog_tag3=naver
120,"""전 연인과 왜 비교해?"" 여자친구 흉기로 살해한 20대 男",https://www.pressian.com/pages/articles/2022072809181466805?utm_source=naver&utm_medium=search
121,충남 공주교도소 재소자 살해 20대 '무기징역',http://moneys.mt.co.kr/news/mwView.php?no=2022072714523893594
122,'중학생 살해' 백광석 김시남 징역 30·27년 확정,https://jejumbc.com/article/b1L7bEiRPvuU4
123,동료 수용자 살해한 무기수 두번째 무기징역,http://www.joongdo.co.kr/web/view.php?key=20220727010007938
124,‘왜 전 남친과 비교해’…애인 살해한 20대 남성 검거,https://www.seoul.co.kr/news/newsView.php?id=20220727500180&wlog_tag3=naver
125,"""윤석열·김진표 살해하겠다"" 국정원 사이트 도배… 경찰 수사 착수",http://www.busan.com/view/busan/view.php?code=2022072616541233194
126,“사산 처리될 뻔한 영아 살해 밝혀내”…대검 우수사례 선정,https://news.kbs.co.kr/news/view.do?ncd=5519190&ref=A
127,"의정부 '자녀 살해 후 극단 선택' 국과수 부검‥""일산화탄소 중독""",https://imnews.imbc.com/news/2022/society/article/6392273_35673.html
128,"아버지 시신 냉장고 보관 아들, 존속살해 혐의 적용해 구속기소(종합)",https://www.yna.co.kr/view/AKR20220726053551063?input=1195m
129,"경찰, 尹 대통령 살해 협박글 용의자 10대 특정",https://www.donga.com/news/article/all/20220726/114668804/2
130,'무시한다' 연인 살해한 20대 남성 체포,http://news.lghellovision.net/news/newsView.do?soCode=SC50000000&idx=341192
131,"'사산' 처리될 뻔한 영아 살해…대검, 형사부 우수 수사 사례 선정",https://news.sbs.co.kr/news/endPage.do?news_id=N1006838004&plink=ORI&cooper=NAVER
132,《사형을 집행하라!》 펴낸 김태수 변호사 | 어린이 性추행 살해 후 시신 토막...,http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202208100037
133,"이혼서류 보냈다고…아내 목 졸라 살해한 남편, 징역 20년 확정",http://www.edaily.co.kr/news/newspath.asp?newsid=02414086632398456
134,"경찰, 대통령·국회의장 살해 협박 글 올린 10대 용의자 특정",https://news.kbs.co.kr/news/view.do?ncd=5518351&ref=A
135,"'동료 재소자 살해' 공주 20대 무기수, 다시 무기징역 선고",http://www.daejonilbo.com/news/articleView.html?idxno=2015715
136,'16명 살해' 탈북민…'북송인가 처벌인가' 견해 밝힌 한동훈 [TF사진관],http://news.tf.co.kr/read/photomovie/1954666.htm
137,국정원 홈페이지에 尹대통령·국회의장 살해 협박글…경찰 수사,https://www.yna.co.kr/view/AKR20220726061100004?input=1195m
138,보완수사 요구로 드러난 '영아살해'…검찰 우수사례 선정,http://www.newsis.com/view/?id=NISX20220727_0001957573&cID=10201&pID=10200
139,“왜 내 거래처 가로채”… 지인 흉기로 살해한 60대 징역 18년,https://biz.chosun.com/topics/law_firm/2022/07/26/664KGLLB7ZCWZN5T7PQMJT2DWU/?utm_source=naver&utm_medium=original&utm_campaign=biz
140,"""대통령·국회의장 가만 안 두겠다"" 국정원 홈피에 살해 협박 글 올라와",https://news.imaeil.com/page/view/2022072610534526776
141,"'동료 살해' 탈북 어민 처벌 가능했나…한동훈 ""전례 있다""",http://news.mt.co.kr/mtview.php?no=2022072717122380941
142,"""전 남친과 왜 비교해""…여자친구 흉기로 살해한 20대 긴급 체포",http://www.newspim.com/news/view/20220727000953
143,"경찰, 윤 대통령 · 국회의장 살해 협박 글 올린 19살 용의자 특정",https://news.sbs.co.kr/news/endPage.do?news_id=N1006837366&plink=ORI&cooper=NAVER
144,보완수사 요구로 드러난 '영아살해'…검찰 우수사례 선정,http://www.newsis.com/view/?id=NISX20220727_0001957573&cID=10201&pID=10200
145,“왜 내 거래처 가로채”… 지인 흉기로 살해한 60대 징역 18년,https://biz.chosun.com/topics/law_firm/2022/07/26/664KGLLB7ZCWZN5T7PQMJT2DWU/?utm_source=naver&utm_medium=original&utm_campaign=biz
146,"아버지 시신 냉장고 보관 아들, ‘존속살해’ 혐의로 구속기소",https://news.kbs.co.kr/news/view.do?ncd=5518229&ref=A
147,"“6살 아들 살해 후 숨진 부부, 반려동물들은 살려준듯”",https://news.kmib.co.kr/article/view.asp?arcid=0017310820&code=61121211&cp=nv
